4406170442,1777051988
4405813551,1777051990
4406140243,1777052002
4366434809,1777052004
4406124979,1777052006
4395341844,1777052007
4405093004,1777052009
4401309233,1777052011
4406381896,1777052013
4383543599,1777052120
4375416569,1777061099
4403773798,1777069690
4393422518,1777069697
4403747446,1777069699
4406676200,1777069778
4405314034,1777069806
4405392007,1777095056
4406605506,1777095063
4406615182,1777095065
4406390521,1777095073
4406396189,1777095085
4404536837,1777095151
4406664462,1777106153
4406390657,1777106155
4366059778,1777106156
4405732740,1777106164
4406847572,1777115572
4405759534,1777126251
4406819728,1777126296
4403788720,1777133261
4405760369,1777133262
4397336404,1777133264
4373454482,1777133272
4369441868,1777140534
4396598043,1777140535
4405760778,1777154164
4356472459,1777154313
4407119135,1777185203
4407125066,1777185221
4407111235,1777185223
4403752078,1777196327
4407124118,1777196336
4385188014,1777196343
4369449403,1777204742
4405931226,1777204760
4407112182,1777204772
4407119853,1777214008
4375894934,1777214010
4405925530,1777214011
4315671656,1777214025
4405926476,1777214038
4314707141,1777214039
4405919266,1777223170
4373121516,1777223172
4405933439,1777223174
4405935437,1777223181
4404630487,1777223183
4367229868,1777223196
4356456893,1777223214
4383127675,1777223217
4344516975,1777223219
4344527209,1777223221
